"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3325","should navigate to 'Contact us' page","","Tue Jul 08 11:00:29 UTC 2025","broken","Tue Jul 08 11:00:33 UTC 2025","","Telnyx testing","",""
"","60006"," visibility of AI Asistant button","","Tue Jul 08 11:07:42 UTC 2025","broken","Tue Jul 08 11:08:42 UTC 2025","","Telnyx testing","",""
"","11712","should open Sign up page","","Tue Jul 08 10:59:49 UTC 2025","broken","Tue Jul 08 11:00:01 UTC 2025","","Telnyx testing","",""
"","2715","should find Linkedin in footer","","Tue Jul 08 11:00:33 UTC 2025","passed","Tue Jul 08 11:00:36 UTC 2025","","Telnyx testing","",""
"","60007","blog page is working","","Tue Jul 08 11:03:42 UTC 2025","broken","Tue Jul 08 11:04:42 UTC 2025","","Telnyx testing","",""
"","6050","should show validation message","","Tue Jul 08 11:00:01 UTC 2025","passed","Tue Jul 08 11:00:07 UTC 2025","","Telnyx testing","",""
"","6099","should sound AI voice","","Tue Jul 08 11:00:36 UTC 2025","passed","Tue Jul 08 11:00:42 UTC 2025","","Telnyx testing","",""
"","60007","should show AI templates list page ","","Tue Jul 08 11:10:42 UTC 2025","broken","Tue Jul 08 11:11:42 UTC 2025","","Telnyx testing","",""
"","60015","login with empty password field","","Tue Jul 08 11:01:42 UTC 2025","broken","Tue Jul 08 11:02:42 UTC 2025","","Telnyx testing","",""
"","60008","should navigate to Pricing page","","Tue Jul 08 11:02:42 UTC 2025","broken","Tue Jul 08 11:03:42 UTC 2025","","Telnyx testing","",""
"","60008","should show Terms and conditions page","","Tue Jul 08 11:09:42 UTC 2025","broken","Tue Jul 08 11:10:42 UTC 2025","","Telnyx testing","",""
"","60007"," comparing page is exist","","Tue Jul 08 11:08:42 UTC 2025","broken","Tue Jul 08 11:09:42 UTC 2025","","Telnyx testing","",""
"","3174","should load homepage with corect title","","Tue Jul 08 10:59:46 UTC 2025","passed","Tue Jul 08 10:59:49 UTC 2025","","Telnyx testing","",""
"","60007"," should show 'Required' message when submitting empty form","","Tue Jul 08 11:06:42 UTC 2025","broken","Tue Jul 08 11:07:42 UTC 2025","","Telnyx testing","",""
"","60019","should registrate with valid data","","Tue Jul 08 11:00:42 UTC 2025","broken","Tue Jul 08 11:01:42 UTC 2025","","Telnyx testing","",""
"","60007","should burger menu exist","","Tue Jul 08 11:05:42 UTC 2025","broken","Tue Jul 08 11:06:42 UTC 2025","","Telnyx testing","",""
"","15229","should show AI asistant popup","","Tue Jul 08 11:00:14 UTC 2025","passed","Tue Jul 08 11:00:29 UTC 2025","","Telnyx testing","",""
"","7372","navigate to VoiceAI page ","","Tue Jul 08 11:00:07 UTC 2025","passed","Tue Jul 08 11:00:14 UTC 2025","","Telnyx testing","",""
"","60007"," should show Finance and Insurance chapter","","Tue Jul 08 11:11:42 UTC 2025","broken","Tue Jul 08 11:12:42 UTC 2025","","Telnyx testing","",""
"","60007"," should Telnyx logo redirect to main paige","","Tue Jul 08 11:04:42 UTC 2025","broken","Tue Jul 08 11:05:42 UTC 2025","","Telnyx testing","",""
